cost
41
38
41
42
41
39
40
45
43
40
38
42
39
41
41
39
44
44
40
41
38
39
39
39
39
38
40
39
39
39
41
39
42
40
41
43
40
39
41
40
39
41
39
43
41
40
42
49
41
41
42
40
39
39
41
43
41
40
41
39
43
40
41
41
42
39
42
41
40
39
41
39
39
45
39
40
40
41
39
39
38
40
42
41
40
38
42
46
41
40
50
39
41
42
39
43
39
40
41
39
40
38
39
41
38
43
39
39
41
39
46
39
38
38
42
40
40
40
40
39
39
40
43
44
40
42
39
41
40
41
38
42
42
39
41
41
40
43
41
41
40
43
39
39
38
38
38
40
40
47
40
39
38
38
42
39
42
43
43
42
38
42
41
42
42
46
44
39
41
39
40
38
44
39
40
42
40
39
39
42
45
41
40
41
39
38
39
45
41
39
38
38
41
41
39
40
40
42
41
44
38
41
50
42
40
43
42
40
43
38
44
39
40
40
51
41
43
41
44
41
42
40
39
46
39
40
39
43
42
42
42
42
40
43
42
40
41
40
39
38
46
39
43
38
39
39
39
49
38
38
38
39
39
39
46
40
39
40
40
38
42
39
40
42
41
40
43
39
47
40
43
41
39
40
41
39
40
50
47
39
40
40
40
39
40
38
42
43
42
42
38
40
45
39
39
39
39
39
39
41
41
42
40
45
39
39
39
43
42
44
41
39
38
43
40
42
39
39
43
39
46
40
42
39
39
40
40
38
40
42
44
41
42
40
41
38
39
40
40
39
42
38
40
39
40
40
39
39
40
40
40
48
40
42
43
40
49
39
38
43
44
46
43
38
41
39
46
41
42
42
43
39
40
40
44
40
38
42
40
39
40
43
38
42
42
45
42
40
43
39
38
39
41
41
39
40
42
41
39
42
43
41
42
41
40
43
46
39
43
40
42
47
41
39
42
41
40
42
43
42
42
39
42
41
39
45
42
40
38
45
42
41
42
40
41
41
45
39
39
43
39
40
39
41
39
41
38
38
42
39
49
39
48
41
38
40
41
41
42
39
39
41
55
41
40
39
39
38
40
39
40
43
40
