cost
17
19
16
16
19
16
17
19
16
21
20
17
16
20
16
20
19
17
17
23
19
16
17
19
17
20
17
20
16
18
18
16
17
26
18
21
19
24
18
16
17
17
17
18
21
17
25
19
17
19
22
22
18
18
18
18
18
19
26
17
18
19
16
17
19
18
19
19
17
19
16
21
21
20
19
18
19
18
21
19
18
22
21
17
17
21
22
22
21
17
21
16
16
19
17
20
17
22
18
18
20
17
17
19
21
16
19
17
24
20
19
16
23
16
27
24
16
22
20
20
19
18
23
16
17
18
20
16
19
17
18
16
19
17
18
17
20
17
16
20
17
22
19
21
16
17
18
18
16
19
18
19
16
16
16
21
19
19
16
19
21
20
18
17
18
27
17
21
22
17
19
22
19
25
16
17
18
22
20
21
19
17
67
20
19
16
32
22
22
17
20
16
22
28
19
16
23
17
23
16
19
22
17
16
20
33
30
24
20
16
16
19
21
24
20
25
23
16
20
18
18
17
21
19
19
16
19
18
18
22
20
21
19
21
17
18
18
21
18
16
18
23
17
18
19
16
20
17
20
19
16
20
16
18
22
21
19
18
17
17
21
19
19
17
16
18
18
20
16
17
17
18
19
17
18
26
20
25
21
17
18
21
18
24
21
16
20
17
16
23
17
18
20
19
16
20
25
19
18
16
53
17
24
19
20
17
16
19
19
19
18
16
21
19
17
19
19
18
24
18
18
18
23
17
23
20
22
17
18
17
18
24
18
17
16
18
17
24
23
19
18
16
19
16
16
20
19
21
19
19
16
17
18
19
20
20
21
17
18
21
16
23
21
19
20
24
20
21
19
20
21
16
21
17
18
18
18
26
17
24
21
18
19
21
