cost
26
27
38
25
26
25
26
27
25
27
30
27
25
27
25
24
25
29
25
26
26
26
26
24
25
25
25
27
28
26
30
27
32
27
26
26
29
29
29
27
25
28
31
27
24
31
25
33
30
26
26
27
25
24
24
30
24
26
28
32
27
31
27
27
33
28
24
26
27
24
25
33
25
26
25
26
25
25
26
28
26
25
27
28
27
27
26
26
29
26
25
25
26
25
27
25
27
26
24
27
24
27
26
27
25
26
24
33
27
25
24
27
28
28
26
26
27
28
26
26
26
32
24
24
27
28
24
25
25
26
25
32
24
27
25
25
27
25
24
27
24
27
27
27
27
26
30
26
25
26
25
33
24
29
29
24
26
27
25
25
29
25
25
24
40
26
25
25
25
27
24
26
28
24
26
28
28
26
28
26
28
28
25
26
25
30
25
26
27
25
25
25
30
30
27
24
28
26
24
26
27
31
27
25
35
25
24
24
25
27
26
26
26
24
29
29
25
28
25
24
28
25
28
28
26
26
24
29
28
29
27
25
25
29
26
26
28
24
28
24
25
28
25
26
30
28
25
28
27
24
26
30
28
26
27
24
25
27
26
25
25
27
24
24
25
29
25
46
26
29
30
25
27
25
24
28
27
27
28
24
26
25
26
25
25
24
25
28
25
25
26
25
26
26
24
30
30
25
30
27
25
24
31
24
25
25
25
26
27
24
25
28
28
30
29
33
25
25
24
26
25
25
25
24
28
24
25
29
25
26
27
25
25
36
24
28
28
28
26
28
26
25
27
26
26
24
28
31
26
25
29
25
25
24
29
24
26
29
27
27
27
26
24
33
25
28
27
28
27
27
26
27
28
24
26
25
26
29
27
27
24
24
25
24
28
31
25
27
25
25
24
24
26
26
27
27
26
27
25
28
26
24
27
27
26
25
26
26
26
25
24
27
27
25
27
26
25
25
24
24
27
33
26
25
24
27
25
25
25
24
28
31
30
24
27
25
26
27
32
28
25
26
27
27
28
32
24
25
26
26
29
27
26
28
26
27
27
26
25
26
27
24
25
26
26
26
25
28
60
24
26
28
25
24
25
26
25
25
26
25
28
25
26
26
26
25
25
27
27
26
24
27
25
25
27
25
24
24
25
